"","euftf","edlvdie","eduyrs","hinctnta","trstplt","imwbcnt","gndr","agea","brncntr","euftf_re","edu_cat"
"21717",6,13,15,10,3,10,1,52,1,4,"Bachelor Degree"
"21718",4,14,18,NA,2,5,2,28,1,6,"Bachelor Degree"
"21719",4,14,19,8,2,6,2,29,1,6,"Bachelor Degree"
"21720",6,4,NA,5,5,6,1,59,1,4,"Junior Cycle"
"21721",6,15,17,NA,7,5,1,37,1,4,"Bachelor Degree"
"21722",0,12,20,7,10,7,2,90,1,10,"Advanced Certificate"
"21723",6,6,14,1,0,5,2,61,1,4,"Leaving Certificate"
"21724",8,15,NA,5,7,7,2,63,1,2,"Bachelor Degree"
"21725",5,6,14,4,6,7,1,83,1,5,"Leaving Certificate"
"21726",NA,6,14,4,NA,10,1,33,2,NA,"Leaving Certificate"
"21727",6,5,15,5,9,6,2,44,1,4,"Leaving Certificate"
"21728",10,15,17,10,8,10,1,57,1,0,"Bachelor Degree"
"21729",7,3,14,3,4,8,2,68,1,3,"Junior Cycle"
"21730",10,16,18,NA,6,7,1,74,1,0,"Postgraduate Degree"
"21731",7,7,13,NA,3,7,2,62,1,3,"Leaving Certificate"
"21732",8,17,19,NA,2,8,1,63,1,2,"Postgraduate Degree"
"21733",6,10,NA,5,8,5,2,89,1,4,"Advanced Certificate"
"21734",7,17,18,NA,4,8,1,68,1,3,"Postgraduate Degree"
"21735",5,1,4,3,3,7,1,74,1,5,"Junior Cycle"
"21736",5,8,15,NA,5,6,2,31,2,5,"Leaving Certificate"
"21737",10,17,18,NA,8,8,1,22,1,0,"Postgraduate Degree"
"21738",1,2,7,3,3,NA,2,73,1,9,"Junior Cycle"
"21739",8,5,12,2,7,6,1,62,1,2,"Leaving Certificate"
"21740",3,18,18,NA,6,7,1,64,2,7,"Postgraduate Degree"
"21741",5,12,18,NA,1,5,1,56,1,5,"Advanced Certificate"
"21742",7,14,16,6,6,7,2,30,1,3,"Bachelor Degree"
"21743",5,4,12,5,5,9,1,63,2,5,"Junior Cycle"
"21744",10,14,19,NA,0,5,2,35,1,0,"Bachelor Degree"
"21745",3,7,13,10,6,6,1,73,2,7,"Leaving Certificate"
"21746",3,7,15,5,2,4,2,19,1,7,"Leaving Certificate"
"21747",7,6,14,NA,8,9,2,61,1,3,"Leaving Certificate"
"21748",10,13,17,2,9,10,2,33,2,0,"Bachelor Degree"
"21749",8,8,19,NA,0,5,1,52,2,2,"Leaving Certificate"
"21750",5,1,7,2,2,6,2,73,1,5,"Junior Cycle"
"21751",5,16,25,10,6,9,2,40,1,5,"Postgraduate Degree"
"21752",2,6,14,NA,0,5,2,57,1,8,"Leaving Certificate"
"21753",5,6,13,3,0,6,1,56,1,5,"Leaving Certificate"
"21754",7,15,18,7,3,4,1,34,1,3,"Bachelor Degree"
"21755",9,9,18,3,5,7,2,43,2,1,"Leaving Certificate"
"21756",3,2,11,1,6,4,1,66,1,7,"Junior Cycle"
"21757",NA,13,15,NA,0,6,1,46,1,NA,"Bachelor Degree"
"21758",3,1,0,NA,2,4,1,71,1,7,"Junior Cycle"
"21759",5,6,13,5,NA,6,2,83,1,5,"Leaving Certificate"
"21760",4,2,9,2,3,6,2,66,2,6,"Junior Cycle"
"21761",5,6,14,2,5,5,2,89,1,5,"Leaving Certificate"
"21762",9,15,17,8,6,8,1,NA,1,1,"Bachelor Degree"
"21763",7,8,13,NA,3,5,1,61,1,3,"Leaving Certificate"
"21764",1,2,10,NA,4,4,2,74,1,9,"Junior Cycle"
"21765",8,6,15,8,6,7,1,57,1,2,"Leaving Certificate"
"21766",7,13,15,5,6,8,1,75,1,3,"Bachelor Degree"
"21767",10,16,17,NA,3,9,1,39,2,0,"Postgraduate Degree"
"21768",6,13,13,NA,8,8,2,32,1,4,"Bachelor Degree"
"21769",5,10,15,7,4,3,1,56,1,5,"Advanced Certificate"
"21770",9,13,18,5,5,4,2,35,2,1,"Bachelor Degree"
"21771",7,3,11,1,2,3,1,64,1,3,"Junior Cycle"
"21772",NA,8,NA,NA,6,8,1,45,2,NA,"Leaving Certificate"
"21773",3,6,13,1,6,7,1,82,1,7,"Leaving Certificate"
"21774",4,2,10,NA,5,0,2,86,1,6,"Junior Cycle"
"21775",6,16,19,NA,5,6,2,57,1,4,"Postgraduate Degree"
"21776",3,13,14,7,8,8,1,42,2,7,"Bachelor Degree"
"21777",5,6,16,10,6,10,1,49,1,5,"Leaving Certificate"
"21778",6,18,30,10,6,10,1,61,1,4,"Postgraduate Degree"
"21779",5,10,19,NA,1,9,1,63,2,5,"Advanced Certificate"
"21780",10,14,18,8,7,8,1,35,1,0,"Bachelor Degree"
"21781",7,3,13,9,4,8,2,18,1,3,"Junior Cycle"
"21782",0,6,18,NA,0,5,2,68,1,10,"Leaving Certificate"
"21783",8,6,14,6,0,9,1,19,1,2,"Leaving Certificate"
"21784",3,13,15,4,5,9,2,54,1,7,"Bachelor Degree"
"21785",7,14,NA,5,4,7,1,42,1,3,"Bachelor Degree"
"21786",1,3,12,6,5,7,1,72,1,9,"Junior Cycle"
"21787",2,16,18,10,1,8,1,62,2,8,"Postgraduate Degree"
"21788",5,6,18,NA,5,5,2,36,2,5,"Leaving Certificate"
"21789",8,16,16,4,6,6,1,57,1,2,"Postgraduate Degree"
"21790",NA,17,21,5,6,8,2,56,1,NA,"Postgraduate Degree"
"21791",8,2,8,4,0,7,1,76,1,2,"Junior Cycle"
"21792",7,NA,15,NA,5,7,1,73,2,3,NA
"21793",5,17,20,NA,6,8,1,47,1,5,"Postgraduate Degree"
"21794",5,17,17,5,7,7,2,38,2,5,"Postgraduate Degree"
"21795",6,10,14,1,1,6,2,68,1,4,"Advanced Certificate"
"21796",5,13,18,NA,5,9,2,71,1,5,"Bachelor Degree"
"21797",2,6,14,1,5,5,2,49,1,8,"Leaving Certificate"
"21798",8,9,14,5,5,4,2,51,1,2,"Leaving Certificate"
"21799",5,16,18,9,2,6,1,38,1,5,"Postgraduate Degree"
"21800",4,16,20,4,5,5,2,60,1,6,"Postgraduate Degree"
"21801",8,10,15,7,5,5,1,76,1,2,"Advanced Certificate"
"21802",4,15,17,8,7,8,2,53,1,6,"Bachelor Degree"
"21803",7,17,21,9,6,8,1,63,1,3,"Postgraduate Degree"
"21804",5,3,12,3,3,5,2,56,2,5,"Junior Cycle"
"21805",NA,8,15,NA,5,8,1,49,1,NA,"Leaving Certificate"
"21806",NA,2,8,3,2,8,2,55,1,NA,"Junior Cycle"
"21807",0,5,12,NA,7,6,1,56,1,10,"Leaving Certificate"
"21808",9,8,14,3,3,7,1,66,1,1,"Leaving Certificate"
"21809",10,13,13,NA,4,10,1,20,2,0,"Bachelor Degree"
"21810",1,2,8,4,2,3,1,70,1,9,"Junior Cycle"
"21811",5,15,16,NA,7,8,1,50,2,5,"Bachelor Degree"
"21812",7,16,22,4,2,6,1,24,1,3,"Postgraduate Degree"
"21813",5,9,13,4,6,6,1,68,1,5,"Leaving Certificate"
"21814",9,17,19,NA,4,10,1,58,1,1,"Postgraduate Degree"
"21815",5,6,13,6,3,6,1,67,1,5,"Leaving Certificate"
"21816",7,16,21,7,8,4,1,63,1,3,"Postgraduate Degree"
"21817",0,3,11,2,0,0,2,NA,1,10,"Junior Cycle"
"21818",8,7,15,9,6,7,2,20,2,2,"Leaving Certificate"
"21819",5,16,21,8,5,8,2,41,1,5,"Postgraduate Degree"
"21820",7,4,14,7,7,4,1,82,1,3,"Junior Cycle"
"21821",NA,2,7,NA,9,7,2,66,1,NA,"Junior Cycle"
"21822",7,8,13,NA,2,5,1,38,1,3,"Leaving Certificate"
"21823",5,15,21,5,3,9,1,71,1,5,"Bachelor Degree"
"21824",5,6,15,6,3,8,2,72,2,5,"Leaving Certificate"
"21825",6,NA,16,4,2,7,1,70,2,4,NA
"21826",5,6,15,8,0,8,1,20,1,5,"Leaving Certificate"
"21827",5,13,19,10,2,5,1,61,1,5,"Bachelor Degree"
"21828",NA,3,12,2,3,5,2,69,1,NA,"Junior Cycle"
"21829",3,12,17,4,1,4,2,23,1,7,"Advanced Certificate"
"21830",NA,17,18,NA,NA,10,1,27,2,NA,"Postgraduate Degree"
"21831",4,6,13,1,8,6,2,84,1,6,"Leaving Certificate"
"21832",5,2,7,1,3,6,1,NA,1,5,"Junior Cycle"
"21833",5,2,10,NA,8,7,1,72,2,5,"Junior Cycle"
"21834",5,13,14,6,4,7,1,40,1,5,"Bachelor Degree"
"21835",1,6,14,9,4,2,1,79,1,9,"Leaving Certificate"
"21836",7,6,13,NA,6,5,2,35,1,3,"Leaving Certificate"
"21837",NA,4,10,2,5,3,2,71,1,NA,"Junior Cycle"
"21838",8,13,20,NA,7,8,1,73,1,2,"Bachelor Degree"
"21839",4,9,17,4,0,NA,2,43,1,6,"Leaving Certificate"
"21840",8,9,15,5,7,8,2,49,1,2,"Leaving Certificate"
"21841",6,18,23,NA,7,7,2,46,2,4,"Postgraduate Degree"
"21842",7,14,17,7,8,7,1,45,1,3,"Bachelor Degree"
"21843",6,2,10,2,7,6,2,85,1,4,"Junior Cycle"
"21844",9,9,NA,3,5,5,1,52,1,1,"Leaving Certificate"
"21845",6,16,17,NA,2,10,2,45,1,4,"Postgraduate Degree"
"21846",7,2,8,5,5,3,2,72,1,3,"Junior Cycle"
"21847",5,13,17,9,6,10,2,53,1,5,"Bachelor Degree"
"21848",3,15,16,NA,0,2,2,63,1,7,"Bachelor Degree"
"21849",9,6,14,6,4,8,2,69,1,1,"Leaving Certificate"
"21850",5,3,13,NA,2,5,2,72,1,5,"Junior Cycle"
"21851",8,12,16,NA,4,8,2,34,2,2,"Advanced Certificate"
"21852",10,6,14,6,8,10,1,19,1,0,"Leaving Certificate"
"21853",7,8,14,NA,5,5,1,60,1,3,"Leaving Certificate"
"21854",1,9,14,5,5,9,1,76,1,9,"Leaving Certificate"
"21855",1,4,11,3,4,7,1,64,2,9,"Junior Cycle"
"21856",10,2,12,2,8,9,1,66,1,0,"Junior Cycle"
"21857",8,6,17,3,0,8,2,49,1,2,"Leaving Certificate"
"21858",5,15,16,4,2,7,1,NA,1,5,"Bachelor Degree"
"21859",NA,13,23,5,2,7,2,37,1,NA,"Bachelor Degree"
"21860",8,2,8,1,7,8,1,84,1,2,"Junior Cycle"
"21861",NA,12,16,4,7,6,2,29,1,NA,"Advanced Certificate"
"21862",7,9,14,8,5,7,2,27,1,3,"Leaving Certificate"
"21863",4,7,16,10,6,5,1,NA,1,6,"Leaving Certificate"
"21864",6,1,5,NA,3,1,1,72,1,4,"Junior Cycle"
"21865",7,7,13,NA,5,5,2,68,1,3,"Leaving Certificate"
"21866",6,18,25,4,2,7,1,30,2,4,"Postgraduate Degree"
"21867",2,3,10,6,7,7,1,79,1,8,"Junior Cycle"
"21868",2,10,16,2,7,7,2,42,1,8,"Advanced Certificate"
"21869",7,6,13,7,7,7,1,79,2,3,"Leaving Certificate"
"21870",3,6,16,NA,0,0,2,37,1,7,"Leaving Certificate"
"21871",8,2,5,NA,5,8,1,60,2,2,"Junior Cycle"
"21872",5,7,13,NA,5,7,2,20,1,5,"Leaving Certificate"
"21873",7,2,9,1,7,5,1,75,1,3,"Junior Cycle"
"21874",NA,2,8,1,8,7,2,85,1,NA,"Junior Cycle"
"21875",7,8,20,NA,7,7,1,69,1,3,"Leaving Certificate"
"21876",2,7,13,3,2,7,2,56,2,8,"Leaving Certificate"
"21877",7,NA,13,NA,7,8,2,38,2,3,NA
"21878",8,17,20,10,4,9,1,90,1,2,"Postgraduate Degree"
"21879",7,16,19,7,6,6,2,66,2,3,"Postgraduate Degree"
"21880",9,2,10,3,4,6,2,83,1,1,"Junior Cycle"
"21881",NA,10,15,8,8,7,2,43,1,NA,"Advanced Certificate"
"21882",8,6,18,2,5,8,2,41,1,2,"Leaving Certificate"
"21883",NA,12,16,NA,7,8,2,40,2,NA,"Advanced Certificate"
"21884",1,7,13,4,6,6,1,41,1,9,"Leaving Certificate"
"21885",NA,2,9,5,3,2,2,64,1,NA,"Junior Cycle"
"21886",4,2,8,NA,2,3,1,76,1,6,"Junior Cycle"
"21887",8,6,13,2,3,3,2,63,1,2,"Leaving Certificate"
"21888",8,16,NA,NA,8,8,2,30,1,2,"Postgraduate Degree"
"21889",0,15,19,NA,7,5,1,33,1,10,"Bachelor Degree"
"21890",1,2,8,NA,2,7,1,78,1,9,"Junior Cycle"
"21891",8,13,17,2,6,8,2,70,1,2,"Bachelor Degree"
"21892",7,7,NA,5,5,7,2,71,1,3,"Leaving Certificate"
"21893",5,12,15,2,2,9,2,62,1,5,"Advanced Certificate"
"21894",8,17,17,7,5,7,2,48,1,2,"Postgraduate Degree"
"21895",8,7,13,4,3,10,2,62,1,2,"Leaving Certificate"
"21896",6,14,18,NA,3,6,2,NA,1,4,"Bachelor Degree"
"21897",NA,1,8,1,NA,NA,2,73,1,NA,"Junior Cycle"
"21898",8,2,12,2,2,NA,1,80,1,2,"Junior Cycle"
"21899",NA,6,13,NA,NA,8,2,33,2,NA,"Leaving Certificate"
"21900",7,18,20,5,4,5,1,57,1,3,"Postgraduate Degree"
"21901",5,8,17,3,6,8,1,48,1,5,"Leaving Certificate"
"21902",10,13,24,NA,1,10,2,63,2,0,"Bachelor Degree"
"21903",10,14,NA,NA,NA,7,1,55,1,0,"Bachelor Degree"
"21904",5,3,10,1,0,7,2,86,1,5,"Junior Cycle"
"21905",10,16,18,2,0,10,1,37,2,0,"Postgraduate Degree"
"21906",3,17,17,7,5,6,1,62,2,7,"Postgraduate Degree"
"21907",5,15,20,3,3,9,2,51,1,5,"Bachelor Degree"
"21908",7,12,14,6,6,7,2,62,1,3,"Advanced Certificate"
"21909",5,16,16,5,2,2,1,82,1,5,"Postgraduate Degree"
"21910",6,16,25,5,4,7,2,47,1,4,"Postgraduate Degree"
"21911",NA,4,12,NA,6,NA,2,76,1,NA,"Junior Cycle"
"21912",8,1,12,1,1,8,1,82,1,2,"Junior Cycle"
"21913",9,2,8,6,0,8,1,78,1,1,"Junior Cycle"
"21914",2,2,8,2,5,5,2,72,1,8,"Junior Cycle"
"21915",6,NA,15,NA,4,3,2,33,1,4,NA
"21916",5,2,6,NA,0,0,2,72,1,5,"Junior Cycle"
"21917",9,6,13,5,5,NA,2,53,1,1,"Leaving Certificate"
"21918",0,17,20,1,2,5,1,37,1,10,"Postgraduate Degree"
"21919",2,9,15,4,2,5,2,33,2,8,"Leaving Certificate"
"21920",5,6,13,4,4,7,2,55,1,5,"Leaving Certificate"
"21921",NA,8,15,NA,0,6,1,41,1,NA,"Leaving Certificate"
"21922",NA,3,11,NA,1,2,1,62,1,NA,"Junior Cycle"
"21923",8,13,15,1,8,10,2,81,1,2,"Bachelor Degree"
"21924",5,1,4,NA,4,5,1,65,1,5,"Junior Cycle"
"21925",7,14,16,10,6,8,1,36,1,3,"Bachelor Degree"
"21926",10,16,20,5,6,10,1,69,1,0,"Postgraduate Degree"
"21927",NA,2,8,NA,7,NA,1,79,1,NA,"Junior Cycle"
"21928",10,13,18,NA,5,10,2,66,1,0,"Bachelor Degree"
"21929",1,6,14,3,0,5,2,59,1,9,"Leaving Certificate"
"21930",5,18,18,NA,4,8,1,62,1,5,"Postgraduate Degree"
"21931",5,15,18,NA,5,6,2,32,2,5,"Bachelor Degree"
"21932",5,3,13,3,5,9,1,57,1,5,"Junior Cycle"
"21933",NA,3,12,NA,8,5,2,81,1,NA,"Junior Cycle"
"21934",8,3,8,6,0,10,2,31,2,2,"Junior Cycle"
"21935",NA,6,18,1,4,7,2,46,2,NA,"Leaving Certificate"
"21936",6,16,20,7,5,8,1,81,1,4,"Postgraduate Degree"
"21937",6,14,21,NA,6,8,1,29,1,4,"Bachelor Degree"
"21938",4,17,26,4,3,5,1,80,1,6,"Postgraduate Degree"
"21939",3,9,16,7,1,5,1,46,1,7,"Leaving Certificate"
"21940",8,15,20,7,9,8,1,84,1,2,"Bachelor Degree"
"21941",5,7,13,5,5,8,2,60,2,5,"Leaving Certificate"
"21942",5,6,NA,6,4,4,1,52,1,5,"Leaving Certificate"
"21943",NA,3,NA,1,0,0,1,52,1,NA,"Junior Cycle"
"21944",5,6,13,5,4,7,2,39,1,5,"Leaving Certificate"
"21945",8,10,16,5,0,10,1,69,1,2,"Advanced Certificate"
"21946",7,3,10,7,8,7,1,63,1,3,"Junior Cycle"
"21947",NA,6,13,8,4,8,2,54,1,NA,"Leaving Certificate"
"21948",8,12,16,4,5,5,2,32,1,2,"Advanced Certificate"
"21949",7,3,6,1,7,9,1,20,1,3,"Junior Cycle"
"21950",2,13,20,9,6,6,2,49,1,8,"Bachelor Degree"
"21951",5,3,11,1,2,7,2,72,1,5,"Junior Cycle"
"21952",0,5,10,NA,0,5,1,48,1,10,"Leaving Certificate"
"21953",7,17,19,5,NA,5,1,19,2,3,"Postgraduate Degree"
"21954",6,NA,10,3,NA,NA,2,NA,1,4,NA
"21955",NA,3,11,3,4,0,2,43,1,NA,"Junior Cycle"
"21956",4,17,24,4,2,8,1,31,1,6,"Postgraduate Degree"
"21957",8,6,20,4,8,6,1,41,2,2,"Leaving Certificate"
"21958",8,9,14,3,6,7,2,63,1,2,"Leaving Certificate"
"21959",9,3,11,2,2,5,1,62,1,1,"Junior Cycle"
"21960",3,4,14,3,5,6,2,57,1,7,"Junior Cycle"
"21961",7,6,15,6,0,8,1,62,1,3,"Leaving Certificate"
"21962",6,2,8,1,2,3,1,67,1,4,"Junior Cycle"
"21963",2,2,8,3,3,4,1,68,1,8,"Junior Cycle"
"21964",7,12,16,3,4,7,2,46,1,3,"Advanced Certificate"
"21965",8,6,20,3,9,7,1,27,2,2,"Leaving Certificate"
"21966",7,6,14,1,1,7,2,71,1,3,"Leaving Certificate"
"21967",0,6,14,4,2,10,2,42,1,10,"Leaving Certificate"
"21968",6,13,NA,8,6,8,2,59,1,4,"Bachelor Degree"
"21969",8,3,13,2,8,9,1,62,1,2,"Junior Cycle"
"21970",7,6,14,1,6,8,1,61,1,3,"Leaving Certificate"
"21971",7,5,14,4,3,2,2,23,1,3,"Leaving Certificate"
"21972",5,11,18,8,1,8,1,64,1,5,"Advanced Certificate"
"21973",8,6,13,NA,0,5,2,74,1,2,"Leaving Certificate"
"21974",7,13,19,7,10,8,2,34,2,3,"Bachelor Degree"
"21975",4,12,15,NA,2,6,2,78,1,6,"Advanced Certificate"
"21976",8,3,12,8,5,7,2,62,1,2,"Junior Cycle"
"21977",5,13,18,10,7,6,2,57,2,5,"Bachelor Degree"
"21978",3,3,11,1,3,5,2,57,1,7,"Junior Cycle"
"21979",5,3,12,NA,3,9,2,61,1,5,"Junior Cycle"
"21980",5,2,10,1,5,7,2,57,1,5,"Junior Cycle"
"21981",5,15,18,NA,3,7,2,28,1,5,"Bachelor Degree"
"21982",8,6,13,4,7,9,2,52,1,2,"Leaving Certificate"
"21983",6,6,14,5,6,10,1,60,1,4,"Leaving Certificate"
"21984",NA,15,NA,10,5,10,2,42,2,NA,"Bachelor Degree"
"21985",1,13,17,6,3,6,1,62,1,9,"Bachelor Degree"
"21986",5,14,19,NA,5,9,2,36,1,5,"Bachelor Degree"
"21987",6,7,NA,7,9,7,1,62,1,4,"Leaving Certificate"
"21988",2,2,8,1,5,5,2,84,1,8,"Junior Cycle"
"21989",8,4,15,6,5,7,2,54,1,2,"Junior Cycle"
"21990",8,7,18,3,4,8,2,46,1,2,"Leaving Certificate"
"21991",5,14,17,10,2,7,2,24,1,5,"Bachelor Degree"
"21992",5,3,10,4,4,5,2,51,1,5,"Junior Cycle"
"21993",NA,3,12,1,3,2,2,67,1,NA,"Junior Cycle"
"21994",5,4,12,2,6,8,1,85,1,5,"Junior Cycle"
"21995",8,6,15,3,0,9,2,NA,2,2,"Leaving Certificate"
"21996",4,3,11,2,1,3,1,70,1,6,"Junior Cycle"
"21997",5,2,8,1,1,5,1,NA,1,5,"Junior Cycle"
"21998",NA,7,13,NA,8,6,1,35,1,NA,"Leaving Certificate"
"21999",8,3,9,2,5,8,1,39,1,2,"Junior Cycle"
"22000",NA,14,16,8,4,8,1,27,2,NA,"Bachelor Degree"
"22001",8,8,NA,1,4,NA,2,70,1,2,"Leaving Certificate"
"22002",7,17,19,10,6,8,2,46,1,3,"Postgraduate Degree"
"22003",2,8,16,6,0,6,1,45,1,8,"Leaving Certificate"
"22004",6,4,15,6,2,4,2,40,1,4,"Junior Cycle"
"22005",7,12,NA,6,8,4,2,62,2,3,"Advanced Certificate"
"22006",7,14,17,5,4,9,1,NA,2,3,"Bachelor Degree"
"22007",4,17,17,NA,2,7,2,73,1,6,"Postgraduate Degree"
"22008",8,13,17,NA,6,6,2,20,1,2,"Bachelor Degree"
"22009",4,13,16,NA,0,5,1,46,1,6,"Bachelor Degree"
"22010",3,6,14,NA,0,2,2,NA,1,7,"Leaving Certificate"
"22011",5,3,11,2,1,4,2,72,1,5,"Junior Cycle"
"22012",6,17,18,8,4,7,1,43,1,4,"Postgraduate Degree"
"22013",5,13,18,NA,6,5,1,35,1,5,"Bachelor Degree"
"22014",5,3,9,NA,4,5,1,23,1,5,"Junior Cycle"
"22015",10,16,21,8,9,10,1,32,2,0,"Postgraduate Degree"
"22016",2,16,NA,3,0,5,1,90,1,8,"Postgraduate Degree"
"22017",5,6,14,9,2,9,2,47,1,5,"Leaving Certificate"
"22018",3,5,11,6,2,4,1,39,1,7,"Leaving Certificate"
"22019",5,18,21,3,5,8,2,46,2,5,"Postgraduate Degree"
"22020",6,17,20,4,5,6,1,39,2,4,"Postgraduate Degree"
"22021",8,3,11,4,5,6,1,83,1,2,"Junior Cycle"
"22022",5,6,18,NA,2,6,2,80,1,5,"Leaving Certificate"
"22023",4,14,18,8,2,10,2,39,1,6,"Bachelor Degree"
"22024",5,13,18,7,4,8,2,42,1,5,"Bachelor Degree"
"22025",2,4,12,3,2,4,1,37,1,8,"Junior Cycle"
"22026",5,7,16,6,3,10,2,34,1,5,"Leaving Certificate"
"22027",10,6,13,4,4,10,1,18,2,0,"Leaving Certificate"
"22028",9,17,19,6,6,10,2,57,2,1,"Postgraduate Degree"
"22029",7,5,10,4,1,2,1,74,1,3,"Leaving Certificate"
"22030",10,3,13,5,3,7,1,56,2,0,"Junior Cycle"
"22031",1,5,17,NA,0,1,2,55,2,9,"Leaving Certificate"
"22032",6,10,16,4,10,8,2,42,2,4,"Advanced Certificate"
"22033",5,2,9,2,1,5,1,65,1,5,"Junior Cycle"
"22034",5,3,11,NA,0,5,1,59,1,5,"Junior Cycle"
"22035",5,13,17,NA,0,4,2,36,1,5,"Bachelor Degree"
"22036",1,4,11,1,NA,3,2,79,1,9,"Junior Cycle"
"22037",NA,16,18,5,6,7,1,45,1,NA,"Postgraduate Degree"
"22038",5,14,18,9,4,5,1,44,2,5,"Bachelor Degree"
"22039",5,4,10,1,0,9,2,NA,1,5,"Junior Cycle"
"22040",NA,6,13,2,2,4,2,45,1,NA,"Leaving Certificate"
"22041",5,15,18,7,2,5,2,62,1,5,"Bachelor Degree"
"22042",3,3,11,NA,8,6,1,84,1,7,"Junior Cycle"
"22043",5,16,19,6,1,7,2,49,1,5,"Postgraduate Degree"
"22044",1,13,16,9,5,7,1,61,2,9,"Bachelor Degree"
"22045",5,8,14,NA,3,5,1,64,1,5,"Leaving Certificate"
"22046",0,6,NA,2,3,9,2,35,2,10,"Leaving Certificate"
"22047",5,16,17,6,3,5,1,76,1,5,"Postgraduate Degree"
"22048",5,5,11,5,6,6,2,68,1,5,"Leaving Certificate"
"22049",4,9,15,NA,5,5,1,86,1,6,"Leaving Certificate"
"22050",5,14,16,6,6,8,2,19,1,5,"Bachelor Degree"
"22051",7,16,21,10,7,5,2,53,1,3,"Postgraduate Degree"
"22052",5,NA,14,NA,5,6,2,42,1,5,NA
"22053",8,3,12,NA,5,6,2,16,1,2,"Junior Cycle"
"22054",4,13,15,2,6,7,2,90,1,6,"Bachelor Degree"
"22055",10,3,12,9,1,8,2,16,1,0,"Junior Cycle"
"22056",5,17,21,NA,1,5,2,47,2,5,"Postgraduate Degree"
"22057",6,15,NA,8,6,8,1,35,1,4,"Bachelor Degree"
"22058",6,17,17,6,0,10,1,35,1,4,"Postgraduate Degree"
"22059",NA,3,13,NA,2,5,2,73,1,NA,"Junior Cycle"
"22060",5,16,19,NA,4,5,2,35,1,5,"Postgraduate Degree"
"22061",3,6,13,NA,7,3,2,84,1,7,"Leaving Certificate"
"22062",7,12,15,9,4,7,2,58,1,3,"Advanced Certificate"
"22063",5,17,20,NA,9,10,1,37,1,5,"Postgraduate Degree"
"22064",5,6,13,NA,0,5,2,74,1,5,"Leaving Certificate"
"22065",5,9,14,5,5,8,2,29,2,5,"Leaving Certificate"
"22066",7,6,15,2,8,8,2,30,1,3,"Leaving Certificate"
"22067",1,16,18,10,5,8,1,57,1,9,"Postgraduate Degree"
"22068",8,3,11,3,6,8,2,32,1,2,"Junior Cycle"
"22069",6,14,18,NA,2,0,1,33,1,4,"Bachelor Degree"
"22070",3,7,16,6,2,4,1,53,1,7,"Leaving Certificate"
"22071",2,6,14,1,2,2,1,72,1,8,"Leaving Certificate"
"22072",9,6,15,3,1,8,2,57,1,1,"Leaving Certificate"
"22073",5,4,12,2,5,10,2,46,2,5,"Junior Cycle"
"22074",5,16,16,8,4,9,2,60,1,5,"Postgraduate Degree"
"22075",5,3,11,5,4,7,2,74,1,5,"Junior Cycle"
"22076",NA,17,17,NA,4,6,2,27,1,NA,"Postgraduate Degree"
"22077",5,7,15,6,NA,7,1,45,2,5,"Leaving Certificate"
"22078",5,10,18,NA,6,10,2,34,1,5,"Advanced Certificate"
"22079",9,7,18,4,7,10,1,29,2,1,"Leaving Certificate"
"22080",8,10,14,9,4,8,1,60,1,2,"Advanced Certificate"
"22081",NA,14,17,NA,7,5,1,25,1,NA,"Bachelor Degree"
"22082",NA,2,10,NA,4,3,2,75,1,NA,"Junior Cycle"
"22083",7,6,14,NA,6,9,1,21,1,3,"Leaving Certificate"
"22084",NA,7,15,NA,4,5,2,45,1,NA,"Leaving Certificate"
"22085",5,1,8,1,3,6,1,68,1,5,"Junior Cycle"
"22086",5,2,8,1,0,6,1,71,1,5,"Junior Cycle"
"22087",5,2,8,NA,0,8,2,54,1,5,"Junior Cycle"
"22088",9,15,17,3,5,8,1,61,2,1,"Bachelor Degree"
"22089",5,2,7,5,3,6,2,90,1,5,"Junior Cycle"
"22090",6,9,17,NA,4,4,1,56,2,4,"Leaving Certificate"
"22091",6,15,18,5,4,9,1,61,2,4,"Bachelor Degree"
"22092",8,13,17,5,8,8,1,61,1,2,"Bachelor Degree"
"22093",NA,5,12,NA,0,6,2,64,1,NA,"Leaving Certificate"
"22094",NA,6,14,NA,0,5,2,73,1,NA,"Leaving Certificate"
"22095",NA,10,15,4,6,4,2,25,1,NA,"Advanced Certificate"
"22096",8,2,9,3,7,7,1,75,1,2,"Junior Cycle"
"22097",NA,6,14,3,0,8,2,48,1,NA,"Leaving Certificate"
"22098",6,6,14,NA,6,6,2,74,1,4,"Leaving Certificate"
"22099",6,6,13,NA,5,7,1,46,1,4,"Leaving Certificate"
"22100",6,6,14,NA,5,9,2,87,1,4,"Leaving Certificate"
"22101",2,3,9,NA,5,5,2,62,1,8,"Junior Cycle"
"22102",3,12,13,3,5,5,1,55,1,7,"Advanced Certificate"
"22103",4,6,13,NA,5,3,1,72,1,6,"Leaving Certificate"
"22104",5,7,NA,6,9,7,1,69,2,5,"Leaving Certificate"
"22105",5,13,17,2,3,7,2,67,1,5,"Bachelor Degree"
"22106",2,17,18,4,3,6,2,61,2,8,"Postgraduate Degree"
"22107",8,13,14,5,3,7,2,62,1,2,"Bachelor Degree"
"22108",0,3,10,NA,5,8,1,60,1,10,"Junior Cycle"
"22109",8,17,18,2,5,6,1,72,2,2,"Postgraduate Degree"
